ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0044,1,2020-10-05,0.0,LA PLATA AV. E INDEPENDENCIA,AVENIDA,True,6,-58.42779702,-34.62207347,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,43.0
2020-0045,1,2020-10-19,3.0,"PAZ, GRAL. AV. Y 27 DE FEBRERO AV.",GRAL PAZ,True,8,-58.46244952,-34.70524971,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,50.0
2020-0046,1,2020-10-27,21.0,"NAZCA AV. Y CARRANZA, ADOLFO P.",AVENIDA,True,11,-58.4844016,-34.60776782,MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,41.0
2020-0047,1,2020-10-27,14.0,AUTOPISTA CAMPORA ALTURA LACARRA AV.,AUTOPISTA,True,9,-58.46668375,-34.65174801,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,15.0
2020-0048,1,2020-10-29,20.0,DORREGO AV. 614,AVENIDA,False,15,-58.4495878,-34.59322448,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,41.0
2020-0049,1,2020-10-30,20.0,"DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.",AVENIDA,True,1,-58.37533517,-34.59276462,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,36.0
2020-0050,1,2020-11-01,22.0,SANTA FE AV. Y GODOY CRUZ,AVENIDA,True,14,-58.42525456,-34.57866344,PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,28.0
2020-0051,1,2020-11-05,0.0,AVELLANEDA AV. Y MERCEDES,AVENIDA,True,10,-58.48493828,-34.62981124,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,49.0
2020-0052,1,2020-11-07,6.0,TUCUMAN Y PUEYRREDON AV.,AVENIDA,True,3,-58.40480504,-34.60183884,BICICLETA-CARGAS,CARGAS,CICLISTA,BICICLETA,MASCULINO,44.0
2020-0053,1,2020-11-09,3.0,"ALCORTA, AMANCIO AV. Y EINSTEIN, ALBERTO",AVENIDA,True,4,-58.41125934,-34.6541774,AUTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,27.0
2020-0054,1,2020-11-19,9.0,INCLAN Y ALBERTI,CALLE,True,4,-58.39956546,-34.6297708,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,59.0
